,cell_type,cell_id,seed,hof,slope,intercept
200,PVALB,689331391,1,0,756.1691484107162,0.0164139153546322
201,PVALB,689331391,1,1,779.8264598320992,0.0174111488787776
202,PVALB,689331391,1,10,782.2988775361899,0.0149155850053987
203,PVALB,689331391,1,11,758.4199365828276,0.0163423060750109
204,PVALB,689331391,1,12,777.1201225835496,0.0155478417167926
205,PVALB,689331391,1,13,784.101640425405,0.015963649602472
206,PVALB,689331391,1,14,793.1083104468273,0.0174875518839803
207,PVALB,689331391,1,15,801.2266146229173,0.0168372522969657
208,PVALB,689331391,1,16,812.1955450245681,0.0174543793350974
209,PVALB,689331391,1,17,800.3096423692768,0.0170969811941095
210,PVALB,689331391,1,18,803.0720636088536,0.0172803252052839
211,PVALB,689331391,1,19,773.3486785412064,0.0160135231765505
212,PVALB,689331391,1,2,815.0172054688635,0.0164464823972735
213,PVALB,689331391,1,3,809.1738586894606,0.017791871641689
214,PVALB,689331391,1,4,813.9924499604534,0.0175337533981059
215,PVALB,689331391,1,5,805.8789839490507,0.0191686914738149
216,PVALB,689331391,1,6,786.7366045015945,0.0168955832604978
217,PVALB,689331391,1,7,848.0337710672841,0.0160467272317232
218,PVALB,689331391,1,8,798.0847749857427,0.0169159570526322
219,PVALB,689331391,1,9,798.8997778827602,0.0152881101358817
220,PVALB,689331391,2,0,811.6524276194236,0.0194007003992597
221,PVALB,689331391,2,1,781.9030158972141,0.0169701762150305
222,PVALB,689331391,2,10,829.2850957758303,0.0170093568480755
223,PVALB,689331391,2,11,768.5237428204543,0.0178602801577929
224,PVALB,689331391,2,12,781.7163715666082,0.0170064496631381
225,PVALB,689331391,2,13,794.3119949037556,0.0176282230314027
226,PVALB,689331391,2,14,760.3620616948637,0.0178132408037332
227,PVALB,689331391,2,15,758.133930851887,0.0139754274069534
228,PVALB,689331391,2,16,779.8464690867913,0.017220914399339
229,PVALB,689331391,2,17,760.106692252069,0.0167938074322339
230,PVALB,689331391,2,18,808.492050301514,0.0189481830150074
231,PVALB,689331391,2,19,787.6694132960258,0.0176470117662912
232,PVALB,689331391,2,2,804.0642365638787,0.0189828994815528
233,PVALB,689331391,2,3,789.3029338515071,0.0188365079211175
234,PVALB,689331391,2,4,814.588912698236,0.019049115344523
235,PVALB,689331391,2,5,758.7140451338869,0.0167896680204592
236,PVALB,689331391,2,6,842.8741749112647,0.0193437833037434
237,PVALB,689331391,2,7,790.2202669417803,0.0174379014273178
238,PVALB,689331391,2,8,770.6535043326202,0.0163898507789984
239,PVALB,689331391,2,9,798.908068550794,0.0178874199269257
240,PVALB,689331391,3,0,774.8429792846024,0.0162998554384225
241,PVALB,689331391,3,1,790.629551179151,0.0175374772980386
242,PVALB,689331391,3,10,765.5542511562433,0.0155596584645349
243,PVALB,689331391,3,11,769.9202376908839,0.016420825317897
244,PVALB,689331391,3,12,790.2277632254369,0.0174152319274618
245,PVALB,689331391,3,13,760.881091782752,0.0159712019404416
246,PVALB,689331391,3,14,760.6792275673364,0.0180855436179859
247,PVALB,689331391,3,15,803.5380845409102,0.0179186448332055
248,PVALB,689331391,3,16,765.9248706048605,0.0165834860796916
249,PVALB,689331391,3,17,745.7644753638709,0.0168178222685605
250,PVALB,689331391,3,18,742.905695555916,0.0138867562175539
251,PVALB,689331391,3,19,763.6242634242155,0.0170884789366269
252,PVALB,689331391,3,2,792.1246067513698,0.0172910347086165
253,PVALB,689331391,3,3,771.0356867240479,0.0167388875466163
254,PVALB,689331391,3,4,785.310271921867,0.0172523600932248
255,PVALB,689331391,3,5,780.2480276672184,0.017068909078834
256,PVALB,689331391,3,6,752.170716834322,0.0148013382316446
257,PVALB,689331391,3,7,783.2833885262903,0.0143867888527339
258,PVALB,689331391,3,8,767.7718174948649,0.0163470174144806
259,PVALB,689331391,3,9,816.8332152083999,0.0153858109154496
